Id,Titol,Any,Duracio (min),Pais,Direcció,Guió,Música,Fotografia,Productora,Repartiment,Gènere,Nota,Num. vots,Web
520214.0,Joker,2019.0,121.0,Estados Unidos,['Todd Phillips'],"['Todd Phillips', 'Scott Silver']",['Hildur Guðnadóttir'],['Lawrence Sher'],['DC Comics / DC Entertainment / Warner Bros. / Village Roadshow  / Bron Studios / Creative Wealth Media Finance / 22 & Indiana Pictures. Distribuida por Warner Bros.'],"['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz', 'Frances Conroy', 'Brett Cullen', 'Bill Camp', 'Shea Whigham', 'Dante Pereira-Olson', 'Douglas Hodge', 'Jolie Chan', 'Bryan Callen', 'Brian Tyree Henry', 'Mary Kate Malat', 'Glenn Fleshler', 'Marc Maron', 'Josh Pais', 'Leigh Gill', 'Adrienne Lovette', 'Sharon Washington', 'Mandela Bellamy', 'David Iacono', 'Matthias Sebastiun Garry', ""Mick O'Rourke"", 'Evan Rosado', 'Caillou Pettis', 'Sondra James', 'Gary Gulman', 'Kim Brockington', 'Jamaal Burcher', 'John Cashin', 'Ryan Funigiello', 'Annie Pisapia', 'Ray Iannicelli', 'Tony D. Head', 'Scott Martin', 'Dj Nino Carta', 'Mark Lotito', 'Jason John Cicalese', 'Keith Buterbaught', 'Ray Rosario', 'Rose Maria Wilde', 'Ben Heyman', 'Emmanuel Rodriguez', 'Vincent Cucuzza', 'Celeste Pisapía', 'Marko Caka', 'Alexandra López Galán', 'Bob Leszczak', 'Rich Petrillo', 'Thomas W. Stewart']","[['Thriller'], ['Drama']]","8,3",35.286,https://www.filmaffinity.com/es/film520214.html
977502.0,Terminator: Dark Fate,2019.0,128.0,Estados Unidos,['Tim Miller'],"['David S. Goyer', 'Billy Ray', 'Justin Rhodes (Historia: James Cameron', 'Charles H. Eglee', 'Josh Friedman', 'David S. Goyer', 'Justin Rhodes. Personajes: James Cameron', 'Gale Anne Hurd)']",['Junkie XL'],['Ken Seng'],['Coproducción Estados Unidos-China; 20th Century Fox / Paramount Pictures / Skydance Productions / Lightstorm Entertainment / Tencent. Productor: James Cameron'],"['Linda Hamilton', 'Mackenzie Davis', 'Natalia Reyes', 'Arnold Schwarzenegger', 'Gabriel Luna', 'Diego Boneta', 'Enrique Arce', 'Tristán Ulloa', 'Alicia Borrachero', 'Tom Hopper', 'Cassandra Starr', 'Brett Azar', 'Edward Furlong']","[['Ciencia ficción'], ['Acción']]","5,7",1.929,https://www.filmaffinity.com/es/film977502.html
610683.0,It. Chapter Two,2019.0,169.0,Estados Unidos,['Andy Muschietti'],"['Gary Dauberman', 'Jeffrey Jurgensen (Novela: Stephen King)']",['Benjamin Wallfisch'],['Checco Varese'],['New Line Cinema / KatzSmith Productions / Lin Pictures / Vertigo Entertainment'],"['Jessica Chastain', 'James McAvoy', 'Isaiah Mustafa', 'James Ransone', 'Bill Skarsgård', 'Jay Ryan', 'Bill Hader', 'Andy Bean', 'Xavier Dolan', 'Will Beinbrink', 'Jack Dylan Grazer', 'Teach Grant', 'Sophia Lillis', 'Taylor Frey', 'Finn Wolfhard', 'Jake Weary', 'Jaeden Martell', 'Nicholas Hamilton', 'Jess Weixler', 'Jeremy Ray Taylor', 'Peter Bogdanovich', 'Jake Sim', 'Jackson Robert Scott', 'Stephen King', 'Owen Teague', 'Javier Botet', 'Joan Gregson', 'Wyatt Oleff', 'Troy James', 'Kate Corbett', 'Chosen Jacobs', 'Lyla Elliott', 'Jason Fuchs', 'Stephen Bogaert', 'Logan Thompson', 'Kelly Van der Burg', 'Janet Porter', 'Ari Cohen', 'Elena Khan', 'Ryan Kiera Armstrong', 'John Connon', 'Anthony Ulc', 'Rob Ramsay', 'Divan Meyer']","[['Terror'], ['Fantástico']]","6,0",8.206,https://www.filmaffinity.com/es/film610683.html
316246.0,The Lion King,2019.0,118.0,Estados Unidos,['Jon Favreau'],"['Jeff Nathanson (Historia: Brenda Chapman. Personajes: Irene Mecchi', 'Linda Woolverton', 'Jonathan Roberts)']","['Hans Zimmer (Canciones: Tim Rice', 'Elton John)']","['Animation', 'Caleb Deschanel']",['Walt Disney Pictures / Fairview Entertainment'],['Animation'],"[['Animación'], ['Aventuras'], ['Drama'], ['Musical']]","6,6",11.71,https://www.filmaffinity.com/es/film316246.html
424407.0,El Camino: A Breaking Bad Movie,2019.0,122.0,Estados Unidos,['Vince Gilligan'],['Vince Gilligan'],['Dave Porter'],['Marshall Adams'],['Netflix / AMC / Sony Pictures Television. Distribuida por Netflix'],"['Aaron Paul', 'Matt Jones', 'Charles Baker', 'Jesse Plemons', 'Krysten Ritter', 'Scott Shepherd', 'Tom Bower', 'Scott MacArthur', 'Tess Harper', 'Robert Forster', 'Larry Hankin', 'Kevin Rankin', 'Johnny Ortiz', 'Marla Gibbs', 'Brendan Sexton III', 'Michael Bofshever', 'Bryan Cranston']","[['Thriller'], ['Drama']]","6,5",9.581,https://www.filmaffinity.com/es/film424407.html
738787.0,Star Wars: The Rise of Skywalker,2019.0,155.0,Estados Unidos,['J.J. Abrams'],"['J.J. Abrams', 'Chris Terrio (Personajes: George Lucas)']",['John Williams'],['Daniel Mindel'],['Lucasfilm / Bad Robot / Walt Disney Pictures'],"['Daisy Ridley', 'Adam Driver', 'John Boyega', 'Oscar Isaac', 'Domhnall Gleeson', 'Kelly Marie Tran', 'Joonas Suotamo', 'Ian McDiarmid', 'Carrie Fisher', 'Keri Russell', 'Billie Lourd', ""Lupita Nyong'o"", 'Naomi Ackie', 'Richard E. Grant', 'Billy Dee Williams', 'Anthony Daniels', 'Dominic Monaghan', 'Mark Hamill', 'Matt Smith']","[['Ciencia ficción'], ['Fantástico'], ['Aventuras'], ['Acción']]",,,https://www.filmaffinity.com/es/film738787.html
398492.0,Watchmen (TV Series),2019.0,59.0,Estados Unidos,"['Damon Lindelof (Creator)', 'Steph Green', 'Nicole Kassell', 'Andrij Parekh', 'Stephen Williams']","['Damon Lindelof', 'Nick Cuse', 'Lila Byock', 'Christal Henry', 'Cord Jefferson', 'Carly Wray (Novela gráfica: Dave Gibbons', 'Alan Moore)']","['Trent Reznor', 'Atticus Ross']","['Chris Seager', 'Xavier Pérez Grobet', 'Gregory Middleton', 'Andrij Parekh']",['HBO / DC Comics. Distribuida por HBO'],"['Regina King', 'Jeremy Irons', 'Don Johnson', 'Tim Blake Nelson', 'Louis Gossett Jr.', 'Adelaide Clemens', 'Andrew Howard', 'Tom Mison', 'Frances Fisher', 'Jacob Ming-Trent', 'Yahya Abdul-Mateen II', 'Hong Chau', 'Dylan Schombing', 'Jean Smart', 'Sara Vickers', 'James Wolk', 'Lily Rose Smith', 'Danny Boyd Jr.', 'Dustin Ingram', 'Nicholas Logan', 'David Michael-Smith', 'Alexis Louder', 'Damon Vance', 'Hunter McGregor', ""Jennifer 'Ms Fer' Russell"", 'Sara Antonio', 'Zele Avradopoulos', 'Chris Baker', 'Frank Bauer', 'Thomas K. Belgrey', 'Karen Beyer', 'Charles Brice', 'Timothy Carr', 'Jamel Chambers', 'Mahdi Cocci', 'Jason Collett', 'Steve Coulter', 'Elyse Dinh', 'Miles Doleac', 'Paul J. Dove', 'Roshawn Franklin', 'Austin Freeman', 'Fred Galle', 'Charles Green', 'Bruce W Greene', 'Eileen Grubba', 'Marissa Chanel Hampton', 'Faithe Herman', 'Maxwell Highsmith', 'Anthony Hill', 'Junie Hoang', 'Ryan Homchick', 'Shiquita James', 'Cal Johnson', 'Ted Johnson', 'Philip Labes', 'Dakota James Alden Lane', 'Danny Le Boyer', 'Elgin Lee', 'Ethan Levy', 'Jesse Mattson', 'Faye Yvette McQueen', 'Jamie Miles', 'Frank David Monroe', 'Moses J. Moseley', 'Omer Mughal', 'Spencer Mulligan', 'John Newberg', 'Mariana Novak', 'Tim Peek', 'Robert Pralgo', 'Wayne Pére', 'John Thelan Reece', 'Chris Romrell', 'Valeri Ross', 'Jordan Salloum', 'Stephen Samson', 'Patrick Seda', 'Geraldine Singer', 'Mystie Smith', 'Han Soto', 'Alejandra Stack', 'Steve Stanulis', 'Charlie Talbert', 'Anatole Taubman', 'William Tokarsky', 'Hawn Tran', 'Jason Turner', 'Devyn A. Tyler', 'Julia Vasi', 'Chris Ward', 'Donald Watkins', 'David Watts', 'Christine Weatherup', 'Benjamin Weaver']","[['Serie de TV'], ['Thriller']]","6,4",487.0,https://www.filmaffinity.com/es/film398492.html
140751.0,Doctor Sleep,2019.0,151.0,Estados Unidos,['Mike Flanagan'],"['Akiva Goldsman', 'Mike Flanagan (Novela: Stephen King)']",['The Newton Brothers'],['Michael Fimognari'],['Warner Bros. / Intrepid Pictures / Vertigo Entertainment. Distribuida por Warner Bros.'],"['Ewan McGregor', 'Rebecca Ferguson', 'Zahn McClarnon', 'Carl Lumbly', 'Alex Essoe', 'Bruce Greenwood', 'Jacob Tremblay', 'Catherine Parker', 'Robert Longstreet', 'Carel Struycken', 'Emily Alyn Lind', 'Selena Anduze', 'Jocelin Donahue', 'Chelsea Talmadge', 'Juan Gaspard', 'Kyliegh Curran', 'Deadra Moore', 'David Michael-Smith', 'Kevin Petruski Jr.', 'Mistie Gibby', 'Met Clark']","[['Terror'], ['Thriller']]","6,6",1.986,https://www.filmaffinity.com/es/film140751.html
547690.0,Brightburn,2019.0,90.0,Estados Unidos,['David Yarovesky'],"['Brian Gunn', 'Mark Gunn']",['Tim Williams'],['Michael Dallatorre'],['H Collective . Distribuida por Sony Pictures Entertainment (SPE). Productor: James Gunn'],"['Jackson A. Dunn', 'Elizabeth Banks', 'David Denman', 'Meredith Hagner', 'Matt Jones', 'Jennifer Holland', 'Steve Agee', 'Becky Wahlstrom', 'Stephen Blackehart', 'Terence Rosemore', 'Annie Humphrey', 'Christian Finlayson', 'Emmie Hunter', 'Mike Dunston', 'Gregory Alan Williams', 'Elizabeth Becka', 'Gwen Parrish', 'Leah Goodkind', 'Shaun McMillan', 'Michael Rooker']","[['Terror'], ['Ciencia ficción']]","5,7",5.662000000000001,https://www.filmaffinity.com/es/film547690.html
253106.0,Dora and the Lost City of Gold,2019.0,102.0,Estados Unidos,['James Bobin'],"['Matthew Robinson', 'Nicholas Stoller (Historia: Tom Wheeler. Serie de TV: Chris Gifford', 'Valerie Walsh', 'Eric Weiner)']","['John Debney', 'Germaine Franco']",['Javier Aguirresarobe'],['Coproducción Estados Unidos-Australia; Nickelodeon Movies / Paramount Players / Platinum Dunes. Distribuida por Paramount Pictures'],"['Isabela Merced', 'Eugenio Derbez', 'Eva Longoria', 'Michael Peña', 'Jeffrey Wahlberg', 'Danny Trejo', 'Isela Vega', 'Temuera Morrison', 'Madeleine Madden', 'Micke Moreno', 'Adriana Barraza', 'Nicholas Coombe', 'Madelyn Miranda', 'Natasa Ristic']","[['Aventuras'], ['Infantil'], ['Comedia']]","5,2",331.0,https://www.filmaffinity.com/es/film253106.html
